EVENT_ID,SOURCE,PROJECT,STATION,SAMPLE_DATE,SAMPLE_TIME,DEPTH,LAYER,SAMPLE_TYPE,SAMPLE_ID,PARAMETER,QUALIFIER,VALUE,UNIT,METHOD,LAB,PROBLEM,DETAILS,TOTAL_DEPTH,UPPER_PYCNOCLINE,LOWER_PYCNOCLINE,LAT,LONG
64284,MDDNR,TRIB,CB5.1W,5/11/2001,7:05,0.5,S,ISM,M1,SALINITY,,12.07,PPT,F02,,,,9,,,38.32522,-76.37574
64284,MDDNR,TRIB,CB5.1W,5/11/2001,7:05,3,AP,ISM,M1,SALINITY,,13.06,PPT,F02,,,,9,,,38.32522,-76.37574
64284,MDDNR,TRIB,CB5.1W,5/11/2001,7:05,6,BP,ISM,M1,SALINITY,,16.7,PPT,F02,,,,9,,,38.32522,-76.37574
64284,MDDNR,TRIB,CB5.1W,5/11/2001,7:05,8,B,ISM,M1,SALINITY,,16.97,PPT,F02,,,,9,,,38.32522,-76.37574
64285,MDDNR,TRIB,CB5.1W,5/24/2001,9:12,0.5,S,ISM,M1,SALINITY,,12.33,PPT,F02,,,,9,,,38.32522,-76.37574
64285,MDDNR,TRIB,CB5.1W,5/24/2001,9:12,3,AP,ISM,M1,SALINITY,,12.66,PPT,F02,,,,9,,,38.32522,-76.37574
64285,MDDNR,TRIB,CB5.1W,5/24/2001,9:12,6,BP,ISM,M1,SALINITY,,13.39,PPT,F02,,,,9,,,38.32522,-76.37574
64285,MDDNR,TRIB,CB5.1W,5/24/2001,9:12,8,B,ISM,M1,SALINITY,,13.66,PPT,F02,,,,9,,,38.32522,-76.37574
64421,MDDNR,TRIB,CB5.1W,6/7/2001,9:25,0.5,S,ISM,M1,SALINITY,,13.06,PPT,F02,,,,9,,,38.32522,-76.37574
64421,MDDNR,TRIB,CB5.1W,6/7/2001,9:25,3,AP,ISM,M1,SALINITY,,13.13,PPT,F02,,,,9,,,38.32522,-76.37574
64421,MDDNR,TRIB,CB5.1W,6/7/2001,9:25,6,BP,ISM,M1,SALINITY,,13.33,PPT,F02,,,,9,,,38.32522,-76.37574
64421,MDDNR,TRIB,CB5.1W,6/7/2001,9:25,8,B,ISM,M1,SALINITY,,14.4,PPT,F02,,,,9,,,38.32522,-76.37574
64422,MDDNR,TRIB,CB5.1W,6/21/2001,8:10,0.5,S,ISM,M1,SALINITY,,13.39,PPT,F02,,,,9,,,38.32522,-76.37574
64422,MDDNR,TRIB,CB5.1W,6/21/2001,8:10,3,AP,ISM,M1,SALINITY,,13.46,PPT,F02,,,,9,,,38.32522,-76.37574
64422,MDDNR,TRIB,CB5.1W,6/21/2001,8:10,6,BP,ISM,M1,SALINITY,,13.66,PPT,F02,,,,9,,,38.32522,-76.37574
64422,MDDNR,TRIB,CB5.1W,6/21/2001,8:10,8,B,ISM,M1,SALINITY,,15.2,PPT,F02,,,,9,,,38.32522,-76.37574
66437,MDDNR,TRIB,CB5.1W,7/5/2001,8:22,0.5,S,ISM,M1,SALINITY,,13.93,PPT,F02,,,,9,,,38.32522,-76.37574
66437,MDDNR,TRIB,CB5.1W,7/5/2001,8:22,3,AP,ISM,M1,SALINITY,,13.99,PPT,F02,,,,9,,,38.32522,-76.37574
66437,MDDNR,TRIB,CB5.1W,7/5/2001,8:22,6,BP,ISM,M1,SALINITY,,14.4,PPT,F02,,,,9,,,38.32522,-76.37574
66437,MDDNR,TRIB,CB5.1W,7/5/2001,8:22,8,B,ISM,M1,SALINITY,,15.27,PPT,F02,,,,9,,,38.32522,-76.37574
66438,MDDNR,TRIB,CB5.1W,7/19/2001,8:05,0.5,S,ISM,M1,SALINITY,,14.06,PPT,F02,,,,9,,,38.32522,-76.37574
66438,MDDNR,TRIB,CB5.1W,7/19/2001,8:05,3,AP,ISM,M1,SALINITY,,14.13,PPT,F02,,,,9,,,38.32522,-76.37574
66438,MDDNR,TRIB,CB5.1W,7/19/2001,8:05,6,BP,ISM,M1,SALINITY,,14.19,PPT,F02,,,,9,,,38.32522,-76.37574
66438,MDDNR,TRIB,CB5.1W,7/19/2001,8:05,8,B,ISM,M1,SALINITY,,14.26,PPT,F02,,,,9,,,38.32522,-76.37574
66574,MDDNR,TRIB,CB5.1W,8/6/2001,9:21,0.5,S,ISM,M1,SALINITY,,14.46,PPT,F02,,,,9,,,38.32522,-76.37574
